,Team,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate,year,team_year,eFG%,Loc eFG%,Accuracy at Rim,Accuracy on Short Midrange,Accuracy on Long Midrange,Accuracy on All Midrange,Accuracy on Corner Threes,Accuracy on Non Corner Threes,Accuracy on All Threes,HALFCOURT: Pts/Play,HALFCOURT: OREB%,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss,OFF STEALS: Freq,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play,Frequency Rim,Frequency Short Midrange,Frequency Long Midrange,Frequency all Midrange,Frequency Corner Threes,Frequency Non Corner Threes,Frequency All Threes
34,Oklahoma City,110.8,0.522,0.158,0.286,24.7,103.8,0.49,0.158,0.274,22.2,2014,Oklahoma City 2014,0.522,0.507,0.635,0.409,0.428,0.42,0.35,0.372,0.366,91.8,0.285,0.789,20.1,17.4,112.6,5.0,0.161,131.4,2.4,0.606,146.8,2.6,0.3,124.4,0.348,0.184,0.219,0.403,0.061,0.187,0.248
35,Golden State,107.9,0.523,0.155,0.27,18.6,102.0,0.477,0.155,0.264,22.8,2014,Golden State 2014,0.523,0.507,0.621,0.402,0.413,0.407,0.409,0.384,0.39,91.6,0.276,0.799,19.2,18.4,101.4,3.3,0.145,122.8,1.2,0.573,125.1,2.0,0.267,121.1,0.333,0.206,0.196,0.403,0.068,0.196,0.264
36,Miami,111.6,0.559,0.161,0.23,23.0,105.8,0.513,0.182,0.303,21.4,2014,Miami 2014,0.559,0.521,0.681,0.464,0.416,0.435,0.427,0.336,0.371,96.5,0.234,0.816,16.9,14.0,118.5,4.1,0.148,129.7,2.0,0.57,138.1,2.1,0.278,125.1,0.392,0.151,0.196,0.346,0.102,0.161,0.262
37,Indiana,104.4,0.492,0.164,0.283,22.8,99.3,0.463,0.148,0.265,19.7,2014,Indiana 2014,0.492,0.496,0.592,0.386,0.424,0.407,0.414,0.348,0.366,88.1,0.284,0.828,17.9,16.5,105.5,2.0,0.119,116.2,1.3,0.541,131.4,0.7,0.208,108.6,0.325,0.22,0.246,0.466,0.056,0.153,0.208
38,Houston,111.0,0.534,0.167,0.297,27.7,106.2,0.491,0.143,0.289,19.6,2014,Houston 2014,0.533,0.532,0.626,0.4,0.362,0.388,0.38,0.355,0.361,90.4,0.309,0.764,21.1,18.5,111.1,5.7,0.182,131.2,2.3,0.667,144.4,3.3,0.353,126.0,0.436,0.189,0.083,0.272,0.073,0.219,0.292
39,Portland,111.6,0.505,0.141,0.308,22.1,107.3,0.491,0.125,0.277,19.2,2014,Portland 2014,0.505,0.504,0.605,0.382,0.411,0.399,0.382,0.373,0.376,92.2,0.311,0.802,21.5,19.5,106.5,3.2,0.131,123.8,1.5,0.614,140.2,1.6,0.255,116.4,0.317,0.17,0.245,0.415,0.071,0.197,0.268
40,Toronto,108.9,0.501,0.153,0.301,24.0,105.1,0.495,0.161,0.286,23.8,2014,Toronto 2014,0.501,0.502,0.606,0.407,0.38,0.393,0.4,0.371,0.379,88.9,0.304,0.828,19.9,17.1,113.7,3.8,0.114,133.2,1.8,0.486,150.0,2.0,0.222,126.1,0.314,0.202,0.226,0.429,0.073,0.185,0.258
41,Phoenix,109.7,0.524,0.159,0.285,22.3,106.2,0.497,0.159,0.291,23.6,2014,Phoenix 2014,0.524,0.513,0.626,0.385,0.416,0.402,0.409,0.368,0.38,91.7,0.283,0.761,18.9,18.2,100.2,4.8,0.183,125.1,2.4,0.673,138.2,2.4,0.366,119.1,0.353,0.181,0.19,0.371,0.079,0.198,0.276
42,Minnesota,109.2,0.49,0.141,0.307,25.4,106.0,0.521,0.169,0.275,17.7,2014,Minnesota 2014,0.49,0.515,0.599,0.381,0.349,0.364,0.336,0.351,0.347,87.5,0.316,0.776,23.1,20.3,110.3,4.8,0.158,129.4,2.6,0.651,142.5,2.1,0.293,120.5,0.408,0.173,0.201,0.373,0.051,0.167,0.219
43,Chicago,103.3,0.476,0.164,0.309,22.8,100.1,0.472,0.159,0.274,18.9,2014,Chicago 2014,0.476,0.506,0.564,0.348,0.391,0.375,0.38,0.355,0.361,83.6,0.308,0.814,20.7,19.0,105.7,3.5,0.116,131.3,1.7,0.53,137.2,1.8,0.196,127.6,0.379,0.16,0.262,0.422,0.048,0.152,0.2
44,Memphis,106.6,0.496,0.152,0.315,18.5,104.3,0.498,0.157,0.267,20.0,2014,Memphis 2014,0.496,0.497,0.607,0.409,0.4,0.405,0.361,0.362,0.362,87.2,0.313,0.824,19.4,18.6,100.7,3.7,0.113,132.7,2.1,0.522,146.2,1.6,0.194,122.1,0.369,0.252,0.225,0.477,0.046,0.108,0.154
45,Dallas,110.7,0.528,0.142,0.262,20.3,108.4,0.518,0.168,0.295,23.2,2014,Dallas 2014,0.528,0.501,0.635,0.414,0.43,0.422,0.425,0.379,0.389,94.9,0.269,0.832,17.0,15.2,109.5,3.5,0.112,130.6,1.8,0.527,137.7,1.6,0.19,125.6,0.32,0.207,0.223,0.43,0.053,0.197,0.25
46,Washington,106.0,0.509,0.154,0.273,18.4,104.6,0.506,0.169,0.272,22.0,2014,Washington 2014,0.509,0.504,0.643,0.379,0.379,0.379,0.399,0.382,0.387,86.4,0.282,0.807,15.8,13.6,114.1,5.0,0.152,132.9,2.5,0.619,147.3,2.5,0.288,125.9,0.346,0.164,0.266,0.43,0.073,0.151,0.224
47,Charlotte,103.9,0.482,0.133,0.255,22.1,104.2,0.492,0.143,0.257,18.5,2014,Charlotte 2014,0.482,0.501,0.585,0.417,0.37,0.388,0.375,0.352,0.357,87.8,0.258,0.839,14.4,12.5,112.4,2.6,0.114,119.5,1.5,0.589,135.5,1.0,0.204,110.9,0.361,0.183,0.266,0.449,0.041,0.149,0.19
48,Brooklyn,106.9,0.517,0.156,0.244,23.7,107.4,0.51,0.171,0.3,23.5,2014,Brooklyn 2014,0.517,0.506,0.605,0.428,0.409,0.418,0.403,0.371,0.38,93.0,0.251,0.842,13.8,13.6,99.5,2.5,0.113,120.6,1.8,0.48,138.0,0.6,0.207,108.0,0.329,0.203,0.198,0.401,0.069,0.2,0.269
49,Atlanta,105.8,0.516,0.161,0.244,20.7,106.4,0.513,0.16,0.278,19.9,2014,Atlanta 2014,0.516,0.511,0.616,0.415,0.407,0.411,0.391,0.357,0.366,90.0,0.246,0.817,14.7,12.5,116.0,3.3,0.141,122.7,1.7,0.55,132.9,1.5,0.272,116.8,0.334,0.198,0.177,0.375,0.081,0.209,0.29
50,New York,107.9,0.509,0.142,0.273,18.9,109.0,0.517,0.159,0.283,24.3,2014,New York 2014,0.509,0.506,0.595,0.384,0.413,0.404,0.397,0.379,0.383,91.2,0.276,0.822,19.0,16.7,110.9,2.4,0.122,118.7,1.6,0.599,129.4,0.8,0.211,112.4,0.318,0.132,0.271,0.402,0.061,0.219,0.28
51,Denver,106.0,0.5,0.162,0.299,22.1,108.0,0.501,0.145,0.285,23.1,2014,Denver 2014,0.5,0.517,0.609,0.347,0.374,0.361,0.421,0.345,0.364,86.5,0.305,0.772,18.8,18.3,100.0,4.5,0.171,125.3,2.2,0.625,146.0,2.2,0.358,117.3,0.393,0.177,0.179,0.356,0.064,0.187,0.251
52,Cleveland,104.8,0.483,0.15,0.302,20.3,107.8,0.509,0.147,0.275,19.9,2014,Cleveland 2014,0.483,0.5,0.56,0.395,0.402,0.399,0.38,0.366,0.37,86.6,0.307,0.816,15.8,16.8,91.6,3.5,0.128,125.1,1.5,0.543,137.0,1.8,0.244,118.6,0.338,0.206,0.243,0.449,0.059,0.154,0.213
53,New Orleans,107.1,0.499,0.148,0.29,21.9,110.2,0.518,0.155,0.291,25.1,2014,New Orleans 2014,0.499,0.51,0.569,0.389,0.412,0.401,0.375,0.391,0.387,88.8,0.285,0.808,20.9,17.9,113.0,3.6,0.129,126.2,1.7,0.54,133.1,2.0,0.249,123.8,0.416,0.194,0.22,0.414,0.043,0.127,0.17
54,Sacramento,105.6,0.485,0.161,0.307,25.4,109.3,0.518,0.143,0.261,23.6,2014,Sacramento 2014,0.485,0.498,0.621,0.384,0.391,0.387,0.362,0.33,0.337,85.7,0.31,0.799,22.9,20.2,109.1,3.4,0.136,124.8,1.9,0.629,137.0,1.5,0.255,118.2,0.348,0.234,0.223,0.457,0.042,0.153,0.195
55,Detroit,106.2,0.486,0.153,0.335,19.9,110.3,0.523,0.155,0.294,21.9,2014,Detroit 2014,0.486,0.519,0.611,0.352,0.352,0.352,0.396,0.304,0.329,84.0,0.336,0.757,23.6,22.6,100.1,4.3,0.172,124.0,2.4,0.68,139.8,1.9,0.338,115.0,0.438,0.189,0.175,0.364,0.053,0.145,0.198
56,Boston,102.3,0.477,0.164,0.304,19.1,107.9,0.508,0.151,0.282,23.0,2014,Boston 2014,0.477,0.503,0.581,0.361,0.413,0.393,0.384,0.318,0.335,83.7,0.299,0.805,18.7,17.2,106.3,2.9,0.138,117.2,1.6,0.573,131.9,1.4,0.281,110.9,0.341,0.167,0.263,0.43,0.059,0.17,0.229
57,Orlando,101.8,0.489,0.158,0.253,19.1,107.8,0.506,0.146,0.275,20.9,2014,Orlando 2014,0.489,0.501,0.581,0.393,0.408,0.402,0.36,0.36,0.36,86.1,0.252,0.817,16.9,15.1,109.2,2.4,0.129,117.8,1.4,0.568,129.6,1.0,0.237,111.6,0.34,0.183,0.263,0.446,0.063,0.151,0.214
