,Team,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate,year,team_year,eFG%,Loc eFG%,Accuracy at Rim,Accuracy on Short Midrange,Accuracy on Long Midrange,Accuracy on All Midrange,Accuracy on Corner Threes,Accuracy on Non Corner Threes,Accuracy on All Threes,HALFCOURT: Pts/Play,HALFCOURT: OREB%,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss,OFF STEALS: Freq,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play,Frequency Rim,Frequency Short Midrange,Frequency Long Midrange,Frequency all Midrange,Frequency Corner Threes,Frequency Non Corner Threes,Frequency All Threes
204,Sacramento,110.1,0.526,0.129,0.256,17.7,110.9,0.534,0.154,0.274,20.7,2019,Sacramento 2019,0.526,0.525,0.629,0.38,0.395,0.386,0.404,0.38,0.385,92.6,0.26,0.752,20.3,18.4,107.4,4.2,0.196,127.6,2.3,0.735,144.7,1.8,0.383,120.7,0.357,0.21,0.137,0.346,0.064,0.233,0.297
205,Charlotte,111.9,0.517,0.122,0.255,20.6,112.8,0.54,0.137,0.257,18.0,2019,Charlotte 2019,0.517,0.533,0.59,0.398,0.428,0.409,0.408,0.345,0.359,95.8,0.259,0.804,17.1,15.7,106.3,2.8,0.149,124.3,1.6,0.62,139.7,1.1,0.293,116.6,0.363,0.179,0.108,0.288,0.074,0.275,0.349
206,New Orleans,111.6,0.532,0.143,0.271,19.5,112.8,0.534,0.13,0.26,19.3,2019,New Orleans 2019,0.532,0.533,0.647,0.426,0.368,0.408,0.356,0.346,0.348,95.9,0.277,0.799,22.0,18.5,115.8,1.6,0.151,115.5,1.2,0.635,129.4,0.4,0.287,108.9,0.393,0.214,0.094,0.308,0.068,0.232,0.299
207,Dallas,109.9,0.523,0.142,0.256,21.8,111.5,0.526,0.129,0.254,19.4,2019,Dallas 2019,0.523,0.532,0.648,0.393,0.377,0.387,0.381,0.34,0.349,95.0,0.264,0.815,18.9,16.7,111.0,1.5,0.132,114.7,1.2,0.609,131.4,0.3,0.251,107.4,0.336,0.184,0.093,0.277,0.081,0.306,0.388
208,LA Lakers,108.3,0.53,0.151,0.257,18.0,109.8,0.518,0.137,0.264,19.4,2019,LA Lakers 2019,0.531,0.543,0.647,0.375,0.401,0.386,0.343,0.336,0.338,92.1,0.266,0.768,19.9,17.7,109.5,2.6,0.189,118.6,1.7,0.718,134.1,0.9,0.371,112.9,0.427,0.154,0.103,0.258,0.073,0.243,0.316
209,Minnesota,111.5,0.515,0.132,0.28,21.1,113.2,0.54,0.146,0.28,19.0,2019,Minnesota 2019,0.515,0.523,0.63,0.392,0.402,0.397,0.384,0.348,0.357,93.3,0.281,0.809,21.8,18.5,114.2,2.8,0.134,127.2,1.5,0.606,134.0,1.4,0.24,124.7,0.357,0.208,0.151,0.359,0.068,0.216,0.284
210,Washington,111.0,0.534,0.137,0.242,20.4,113.9,0.551,0.153,0.283,20.1,2019,Washington 2019,0.534,0.536,0.669,0.403,0.391,0.397,0.366,0.337,0.344,95.6,0.248,0.785,19.3,17.0,110.8,3.1,0.165,124.7,1.4,0.651,132.3,1.6,0.325,121.5,0.381,0.149,0.131,0.28,0.081,0.258,0.339
211,Memphis,106.1,0.511,0.143,0.231,20.9,109.2,0.524,0.156,0.263,23.6,2019,Memphis 2019,0.511,0.525,0.618,0.408,0.401,0.405,0.362,0.341,0.347,91.7,0.238,0.825,16.4,14.7,109.8,2.0,0.133,121.5,1.2,0.56,129.3,0.8,0.241,117.8,0.346,0.221,0.119,0.34,0.079,0.235,0.315
212,Atlanta,107.7,0.523,0.164,0.272,19.0,114.5,0.547,0.142,0.267,23.8,2019,Atlanta 2019,0.523,0.545,0.607,0.372,0.371,0.372,0.391,0.344,0.357,91.6,0.27,0.77,20.4,19.1,103.3,2.2,0.175,117.6,0.9,0.713,119.4,1.2,0.347,116.3,0.396,0.162,0.069,0.231,0.102,0.271,0.373
213,Chicago,104.9,0.506,0.143,0.228,18.3,113.7,0.545,0.133,0.256,18.9,2019,Chicago 2019,0.506,0.526,0.595,0.41,0.38,0.398,0.397,0.343,0.356,90.6,0.242,0.822,15.1,13.9,106.8,2.0,0.137,120.3,1.6,0.643,137.7,0.5,0.246,111.2,0.375,0.211,0.137,0.348,0.065,0.212,0.277
214,Phoenix,105.7,0.517,0.154,0.233,20.1,115.2,0.549,0.154,0.302,23.8,2019,Phoenix 2019,0.517,0.527,0.632,0.422,0.409,0.417,0.333,0.334,0.334,90.6,0.232,0.795,18.2,15.6,113.0,2.5,0.161,122.5,1.7,0.681,134.4,0.7,0.315,112.7,0.36,0.206,0.128,0.334,0.078,0.228,0.306
215,Cleveland,107.8,0.505,0.14,0.271,18.5,117.7,0.565,0.129,0.258,18.1,2019,Cleveland 2019,0.505,0.521,0.594,0.394,0.404,0.398,0.362,0.36,0.36,90.0,0.274,0.807,20.3,17.7,112.1,2.6,0.135,123.8,1.4,0.618,135.4,1.4,0.278,119.7,0.335,0.216,0.141,0.357,0.071,0.238,0.309
216,New York,104.2,0.49,0.141,0.255,20.2,114.7,0.537,0.131,0.271,20.8,2019,New York 2019,0.49,0.529,0.576,0.366,0.387,0.376,0.349,0.342,0.343,88.0,0.261,0.804,19.7,17.7,108.6,1.8,0.138,117.5,1.2,0.657,130.4,0.7,0.262,112.7,0.374,0.167,0.153,0.32,0.058,0.249,0.306
217,Average,110.9,0.532,0.144,0.254,20.2,110.9,0.532,0.144,0.254,20.2,2020,Average 2020,0.532,0.535,0.635,0.401,0.408,0.403,0.39,0.355,0.363,95.2,0.259,0.804,19.3,16.9,111.0,2.5,0.147,122.8,1.5,0.636,135.3,1.0,0.273,117.0,0.352,0.187,0.107,0.293,0.082,0.272,0.355
218,Milwaukee,113.1,0.555,0.142,0.226,20.5,103.2,0.494,0.134,0.208,17.9,2020,Milwaukee 2020,0.555,0.539,0.677,0.407,0.479,0.432,0.386,0.351,0.359,99.5,0.228,0.782,17.8,15.8,110.1,2.7,0.185,121.0,1.3,0.621,135.2,1.4,0.35,116.3,0.349,0.167,0.089,0.257,0.087,0.308,0.394
219,Boston,113.6,0.532,0.136,0.271,21.0,106.7,0.511,0.154,0.256,21.6,2020,Boston 2020,0.532,0.534,0.621,0.402,0.418,0.408,0.386,0.364,0.369,96.8,0.286,0.788,20.3,18.6,105.7,2.6,0.157,122.5,1.7,0.641,135.2,0.8,0.279,115.4,0.35,0.188,0.103,0.292,0.071,0.287,0.358
220,LA Clippers,114.2,0.536,0.141,0.267,23.8,107.7,0.509,0.139,0.249,20.0,2020,LA Clippers 2020,0.535,0.532,0.631,0.422,0.402,0.414,0.39,0.364,0.371,98.2,0.275,0.793,19.8,18.3,105.2,2.9,0.158,123.7,1.9,0.657,146.8,0.8,0.29,112.2,0.346,0.196,0.118,0.314,0.092,0.248,0.34
221,Toronto,111.0,0.535,0.145,0.24,21.1,105.3,0.506,0.167,0.263,20.3,2020,Toronto 2020,0.535,0.548,0.612,0.369,0.361,0.367,0.379,0.373,0.374,94.5,0.236,0.775,17.8,15.4,112.8,3.6,0.184,125.3,1.8,0.657,137.8,1.9,0.34,121.1,0.39,0.146,0.076,0.221,0.092,0.297,0.389
222,LA Lakers,112.3,0.543,0.15,0.27,20.4,106.7,0.519,0.158,0.249,20.6,2020,LA Lakers 2020,0.543,0.543,0.688,0.379,0.365,0.372,0.409,0.329,0.353,94.4,0.273,0.786,22.3,19.2,113.3,3.8,0.161,129.8,2.0,0.619,142.5,1.9,0.295,125.0,0.398,0.153,0.124,0.277,0.096,0.229,0.325
223,Dallas,116.9,0.548,0.127,0.262,20.9,112.0,0.526,0.119,0.249,17.6,2020,Dallas 2020,0.548,0.534,0.673,0.394,0.43,0.405,0.398,0.361,0.37,100.9,0.274,0.822,21.8,17.3,123.1,1.6,0.123,118.4,1.3,0.58,141.7,0.3,0.233,108.0,0.308,0.186,0.082,0.268,0.095,0.329,0.424
224,Miami,112.9,0.551,0.148,0.238,23.6,109.7,0.524,0.14,0.232,21.3,2020,Miami 2020,0.551,0.535,0.669,0.395,0.383,0.391,0.387,0.385,0.386,99.0,0.246,0.828,16.5,14.2,114.6,2.4,0.131,125.0,1.4,0.647,134.1,0.9,0.222,118.9,0.331,0.178,0.107,0.285,0.098,0.286,0.384
225,Houston,112.9,0.539,0.138,0.234,23.2,110.2,0.53,0.155,0.279,19.4,2020,Houston 2020,0.539,0.552,0.638,0.394,0.392,0.393,0.382,0.336,0.349,98.5,0.242,0.813,14.9,13.9,105.0,2.9,0.149,125.8,1.4,0.664,129.9,1.5,0.255,125.4,0.357,0.131,0.05,0.181,0.122,0.34,0.462
226,Philadelphia,111.9,0.537,0.143,0.269,19.4,109.1,0.526,0.139,0.236,21.5,2020,Philadelphia 2020,0.537,0.526,0.647,0.413,0.407,0.411,0.415,0.363,0.374,96.8,0.281,0.801,19.2,18.2,102.3,2.0,0.145,120.9,1.4,0.639,132.3,0.6,0.255,114.5,0.33,0.213,0.124,0.338,0.073,0.259,0.332
227,Utah,112.4,0.553,0.151,0.244,21.2,109.9,0.522,0.124,0.238,18.5,2020,Utah 2020,0.553,0.536,0.656,0.4,0.425,0.406,0.413,0.376,0.386,98.0,0.253,0.831,19.3,15.4,123.0,1.8,0.127,119.9,1.2,0.655,134.0,0.6,0.231,113.6,0.338,0.212,0.068,0.28,0.11,0.272,0.382
228,Indiana,110.7,0.539,0.133,0.23,17.1,108.4,0.515,0.148,0.268,19.4,2020,Indiana 2020,0.539,0.53,0.624,0.448,0.423,0.436,0.399,0.366,0.374,96.5,0.232,0.82,18.3,14.9,120.7,2.0,0.135,121.2,1.7,0.679,140.4,0.4,0.229,110.9,0.365,0.184,0.156,0.34,0.074,0.221,0.295
229,Denver,113.2,0.537,0.14,0.279,18.6,111.1,0.533,0.144,0.259,20.0,2020,Denver 2020,0.537,0.528,0.655,0.395,0.457,0.42,0.41,0.349,0.363,96.4,0.293,0.808,22.8,19.1,116.3,1.8,0.141,117.1,1.5,0.605,134.3,0.3,0.255,107.2,0.348,0.205,0.132,0.337,0.074,0.242,0.316
230,Oklahoma City,111.1,0.534,0.136,0.227,23.3,109.2,0.523,0.143,0.256,17.6,2020,Oklahoma City 2020,0.534,0.525,0.642,0.409,0.471,0.435,0.345,0.364,0.36,98.6,0.231,0.823,14.3,13.5,104.3,1.5,0.141,116.8,1.3,0.573,133.7,0.1,0.261,106.8,0.331,0.207,0.139,0.345,0.069,0.254,0.323
231,Orlando,109.7,0.511,0.129,0.251,20.0,109.9,0.54,0.148,0.235,17.6,2020,Orlando 2020,0.512,0.526,0.63,0.406,0.378,0.394,0.389,0.343,0.35,93.1,0.251,0.797,19.3,17.5,107.5,2.8,0.148,125.2,1.7,0.609,138.3,1.1,0.272,118.5,0.329,0.195,0.138,0.333,0.053,0.285,0.339
232,Phoenix,111.8,0.534,0.145,0.253,22.5,112.0,0.544,0.152,0.247,22.3,2020,Phoenix 2020,0.534,0.532,0.634,0.428,0.406,0.42,0.374,0.356,0.361,96.6,0.248,0.803,17.9,16.8,103.9,3.3,0.147,129.9,1.9,0.682,143.5,1.5,0.283,122.7,0.353,0.197,0.117,0.314,0.085,0.248,0.333
233,New Orleans,111.6,0.545,0.158,0.273,18.7,112.2,0.534,0.14,0.258,21.3,2020,New Orleans 2020,0.545,0.544,0.636,0.393,0.38,0.388,0.411,0.364,0.376,94.3,0.286,0.8,20.9,18.4,110.6,3.2,0.147,128.4,1.4,0.602,138.9,1.9,0.285,126.3,0.376,0.154,0.093,0.247,0.098,0.279,0.377
234,San Antonio,112.5,0.535,0.123,0.218,21.4,113.1,0.543,0.129,0.237,19.5,2020,San Antonio 2020,0.535,0.512,0.644,0.444,0.436,0.44,0.403,0.375,0.381,98.5,0.214,0.809,16.5,15.1,107.4,3.3,0.147,129.2,2.0,0.657,145.8,1.4,0.275,121.8,0.286,0.22,0.195,0.415,0.067,0.232,0.298
235,Brooklyn,109.4,0.524,0.149,0.269,19.9,110.1,0.513,0.124,0.252,19.0,2020,Brooklyn 2020,0.524,0.548,0.62,0.35,0.405,0.366,0.386,0.339,0.35,93.6,0.278,0.809,17.9,17.5,99.8,2.3,0.139,121.1,1.3,0.603,135.0,1.1,0.273,116.3,0.388,0.16,0.063,0.223,0.091,0.298,0.389
236,Portland,114.0,0.536,0.126,0.252,19.3,115.0,0.533,0.126,0.276,21.0,2020,Portland 2020,0.536,0.528,0.604,0.426,0.433,0.429,0.422,0.373,0.383,98.6,0.258,0.818,20.7,17.9,112.6,2.4,0.124,127.2,0.9,0.593,129.6,1.4,0.242,126.1,0.328,0.183,0.138,0.321,0.07,0.281,0.351
237,Memphis,109.3,0.531,0.147,0.258,18.2,110.4,0.522,0.142,0.254,22.1,2020,Memphis 2020,0.531,0.529,0.639,0.441,0.395,0.43,0.376,0.344,0.352,93.2,0.255,0.783,21.3,18.2,114.4,2.5,0.169,121.2,1.6,0.724,134.6,1.0,0.313,115.8,0.35,0.249,0.082,0.33,0.073,0.246,0.319
238,Sacramento,109.8,0.536,0.144,0.244,17.5,112.6,0.547,0.15,0.249,22.2,2020,Sacramento 2020,0.536,0.531,0.636,0.401,0.438,0.414,0.389,0.363,0.369,94.5,0.244,0.807,19.5,16.2,117.7,2.6,0.141,124.5,1.4,0.584,138.4,1.2,0.276,118.9,0.33,0.203,0.101,0.304,0.085,0.281,0.366
239,Chicago,106.6,0.52,0.155,0.255,17.6,110.0,0.55,0.18,0.268,24.1,2020,Chicago 2020,0.521,0.549,0.606,0.371,0.361,0.368,0.385,0.345,0.354,89.2,0.259,0.784,20.3,17.2,115.7,3.0,0.165,124.0,2.0,0.661,136.0,1.0,0.301,116.0,0.405,0.156,0.073,0.229,0.087,0.279,0.366
240,Detroit,109.4,0.53,0.155,0.264,19.6,113.2,0.543,0.142,0.27,18.8,2020,Detroit 2020,0.53,0.54,0.624,0.381,0.394,0.384,0.419,0.351,0.371,93.5,0.268,0.815,19.0,17.5,106.2,2.5,0.134,123.9,1.3,0.631,127.5,1.3,0.259,123.9,0.371,0.202,0.074,0.277,0.107,0.244,0.352
241,Minnesota,108.5,0.518,0.145,0.251,20.8,112.7,0.546,0.148,0.254,22.1,2020,Minnesota 2020,0.518,0.546,0.622,0.361,0.362,0.361,0.337,0.343,0.342,93.6,0.264,0.805,19.1,17.2,109.2,1.4,0.142,115.9,1.6,0.613,135.0,-0.1,0.263,107.2,0.382,0.167,0.056,0.223,0.072,0.323,0.395
242,Washington,110.6,0.523,0.137,0.249,21.5,115.9,0.562,0.155,0.277,23.2,2020,Washington 2020,0.523,0.528,0.644,0.365,0.393,0.379,0.385,0.367,0.37,94.0,0.244,0.795,19.1,15.9,118.1,3.2,0.156,126.3,1.7,0.656,138.5,1.4,0.321,120.2,0.339,0.175,0.155,0.329,0.062,0.27,0.332
243,New York,106.5,0.503,0.147,0.286,18.2,112.8,0.541,0.138,0.244,22.6,2020,New York 2020,0.503,0.533,0.608,0.384,0.388,0.386,0.376,0.331,0.341,89.1,0.291,0.801,23.2,20.4,110.0,1.6,0.132,117.0,1.6,0.627,136.0,0.1,0.229,105.5,0.386,0.178,0.149,0.327,0.066,0.221,0.287
244,Charlotte,107.0,0.51,0.152,0.267,18.7,114.0,0.549,0.147,0.282,16.2,2020,Charlotte 2020,0.51,0.544,0.594,0.344,0.339,0.343,0.394,0.351,0.361,90.3,0.275,0.802,20.1,17.9,109.8,1.7,0.143,118.5,1.0,0.635,125.5,0.8,0.297,115.7,0.384,0.187,0.057,0.244,0.082,0.29,0.372
245,Atlanta,107.5,0.518,0.155,0.255,20.2,115.1,0.546,0.143,0.277,23.7,2020,Atlanta 2020,0.518,0.536,0.642,0.399,0.381,0.393,0.337,0.336,0.336,91.6,0.252,0.793,19.5,16.5,115.0,2.3,0.159,119.3,1.0,0.695,121.1,1.3,0.306,119.1,0.352,0.194,0.086,0.28,0.082,0.285,0.367
246,Cleveland,107.5,0.525,0.169,0.285,16.9,115.4,0.56,0.129,0.248,16.2,2020,Cleveland 2020,0.525,0.533,0.605,0.432,0.405,0.424,0.411,0.344,0.359,90.6,0.294,0.814,20.3,17.9,111.1,1.9,0.134,117.7,1.1,0.649,125.2,0.8,0.255,114.3,0.358,0.214,0.09,0.304,0.073,0.265,0.338
247,Golden State,104.9,0.5,0.148,0.239,21.0,114.5,0.558,0.153,0.268,19.6,2020,Golden State 2020,0.5,0.522,0.623,0.39,0.397,0.393,0.396,0.326,0.34,90.0,0.241,0.818,17.8,16.1,107.5,1.9,0.131,119.9,1.1,0.596,126.6,1.0,0.241,117.8,0.316,0.205,0.155,0.36,0.065,0.259,0.324
248,Average,112.9,0.541,0.138,0.251,19.2,112.9,0.541,0.138,0.251,19.2,2021,Average 2021,0.541,0.545,0.641,0.428,0.417,0.424,0.393,0.365,0.372,96.9,0.256,0.806,19.5,16.8,113.2,2.7,0.147,125.8,1.5,0.628,137.7,1.1,0.275,120.0,0.333,0.203,0.103,0.306,0.088,0.274,0.361
249,Utah,118.8,0.569,0.142,0.272,20.0,107.5,0.508,0.117,0.227,15.1,2021,Utah 2021,0.569,0.549,0.655,0.449,0.388,0.437,0.404,0.392,0.396,102.0,0.28,0.805,20.3,17.7,111.8,3.7,0.146,133.8,1.1,0.587,133.9,2.5,0.272,133.2,0.29,0.208,0.049,0.257,0.126,0.327,0.453
250,LA Clippers,118.6,0.57,0.135,0.257,19.1,111.8,0.536,0.132,0.236,18.2,2021,LA Clippers 2021,0.57,0.538,0.656,0.439,0.436,0.438,0.465,0.398,0.418,103.5,0.266,0.818,20.0,16.9,116.3,2.5,0.135,127.3,1.6,0.602,141.3,1.0,0.248,120.6,0.294,0.196,0.14,0.335,0.113,0.258,0.371
251,Phoenix,117.7,0.568,0.127,0.236,17.6,111.5,0.538,0.14,0.246,19.4,2021,Phoenix 2021,0.568,0.532,0.674,0.509,0.466,0.491,0.437,0.361,0.383,102.7,0.239,0.811,19.7,15.1,127.2,3.0,0.15,127.6,1.2,0.643,129.7,1.8,0.271,128.9,0.272,0.215,0.147,0.362,0.106,0.26,0.366
252,Brooklyn,119.4,0.581,0.133,0.235,21.0,113.7,0.534,0.126,0.262,18.7,2021,Brooklyn 2021,0.582,0.548,0.656,0.474,0.462,0.471,0.412,0.398,0.401,104.8,0.252,0.805,19.5,16.1,118.1,3.0,0.153,129.4,1.2,0.613,134.3,2.0,0.306,128.4,0.34,0.199,0.082,0.281,0.088,0.291,0.379
253,Milwaukee,117.5,0.567,0.134,0.257,17.8,112.1,0.542,0.128,0.23,15.2,2021,Milwaukee 2021,0.567,0.544,0.678,0.443,0.432,0.438,0.399,0.385,0.388,102.0,0.25,0.782,20.2,17.3,114.0,3.0,0.178,123.7,1.7,0.626,140.9,1.3,0.339,117.5,0.325,0.187,0.111,0.299,0.085,0.291,0.376
254,Denver,118.0,0.563,0.137,0.284,17.5,112.5,0.548,0.146,0.24,19.6,2021,Denver 2021,0.563,0.539,0.674,0.463,0.438,0.454,0.43,0.368,0.383,100.8,0.277,0.798,22.2,18.9,113.8,3.4,0.149,130.5,1.9,0.595,144.1,1.4,0.276,123.7,0.312,0.215,0.116,0.331,0.086,0.271,0.357
255,Philadelphia,113.7,0.543,0.144,0.266,22.8,108.2,0.526,0.153,0.248,19.3,2021,Philadelphia 2021,0.543,0.536,0.632,0.446,0.458,0.451,0.423,0.363,0.38,97.1,0.27,0.793,21.7,18.4,114.4,2.5,0.16,122.7,1.8,0.609,136.3,0.7,0.288,113.8,0.322,0.236,0.129,0.365,0.09,0.223,0.313
256,LA Lakers,110.9,0.54,0.153,0.255,19.9,108.1,0.531,0.153,0.234,18.6,2021,LA Lakers 2021,0.54,0.549,0.67,0.427,0.362,0.402,0.365,0.355,0.357,94.3,0.254,0.803,20.9,17.1,119.7,2.5,0.15,123.4,1.4,0.586,135.2,1.2,0.287,119.6,0.371,0.184,0.111,0.296,0.09,0.244,0.334
257,Portland,119.1,0.546,0.112,0.263,19.7,116.7,0.552,0.128,0.255,19.8,2021,Portland 2021,0.546,0.546,0.611,0.377,0.44,0.406,0.385,0.394,0.392,101.8,0.27,0.815,22.9,18.7,119.3,2.3,0.126,125.4,0.8,0.621,122.1,1.4,0.236,127.0,0.31,0.147,0.125,0.272,0.075,0.343,0.418
258,Dallas,116.2,0.556,0.123,0.238,18.9,113.8,0.538,0.128,0.252,19.8,2021,Dallas 2021,0.556,0.54,0.688,0.457,0.43,0.447,0.376,0.366,0.369,102.2,0.242,0.837,17.6,15.0,114.7,2.0,0.117,124.5,1.1,0.616,132.0,0.9,0.215,120.5,0.285,0.197,0.11,0.307,0.09,0.318,0.408
259,New York,110.7,0.526,0.135,0.253,18.6,108.4,0.511,0.132,0.249,19.4,2021,New York 2021,0.526,0.538,0.598,0.395,0.414,0.402,0.425,0.382,0.395,94.5,0.261,0.831,18.8,16.4,111.8,2.0,0.121,124.7,1.2,0.581,133.3,0.9,0.209,121.2,0.324,0.225,0.131,0.356,0.098,0.222,0.32
260,Atlanta,115.5,0.542,0.133,0.268,22.6,113.2,0.533,0.125,0.247,19.0,2021,Atlanta 2021,0.542,0.542,0.634,0.431,0.442,0.434,0.394,0.369,0.375,99.2,0.273,0.798,23.7,19.9,115.4,2.4,0.141,125.8,1.2,0.598,134.6,1.1,0.268,121.2,0.324,0.227,0.095,0.322,0.08,0.273,0.354
261,Boston,114.2,0.545,0.14,0.271,18.1,112.6,0.543,0.143,0.251,21.4,2021,Boston 2021,0.545,0.54,0.665,0.416,0.412,0.415,0.391,0.375,0.379,96.9,0.287,0.808,20.1,18.0,108.9,3.0,0.143,129.4,2.0,0.614,148.9,0.8,0.263,117.1,0.301,0.214,0.104,0.318,0.077,0.304,0.381
262,Memphis,112.3,0.528,0.131,0.274,17.6,111.6,0.539,0.146,0.249,19.4,2021,Memphis 2021,0.528,0.536,0.637,0.442,0.412,0.436,0.374,0.35,0.357,92.4,0.28,0.772,23.2,19.5,115.5,4.0,0.174,131.6,2.2,0.654,146.1,1.9,0.322,124.5,0.321,0.294,0.073,0.367,0.087,0.224,0.311
263,Golden State,111.1,0.55,0.147,0.208,19.1,110.7,0.526,0.146,0.258,22.9,2021,Golden State 2021,0.55,0.547,0.665,0.424,0.376,0.406,0.398,0.369,0.376,98.4,0.218,0.827,15.1,13.3,111.4,1.8,0.135,122.1,1.1,0.564,132.4,0.8,0.249,118.5,0.319,0.177,0.1,0.277,0.094,0.311,0.405
264,Miami,111.8,0.547,0.144,0.223,20.2,111.7,0.545,0.157,0.252,18.4,2021,Miami 2021,0.547,0.549,0.681,0.412,0.408,0.41,0.352,0.366,0.362,97.5,0.228,0.817,15.9,13.7,114.4,2.8,0.149,126.7,1.7,0.627,135.6,1.1,0.271,122.0,0.328,0.178,0.095,0.273,0.105,0.295,0.4
265,Indiana,112.5,0.544,0.131,0.231,17.8,112.9,0.534,0.144,0.285,20.2,2021,Indiana 2021,0.544,0.555,0.624,0.431,0.424,0.429,0.41,0.352,0.365,96.8,0.234,0.805,17.9,14.3,123.4,3.2,0.155,129.1,1.8,0.661,140.4,1.2,0.287,121.5,0.392,0.184,0.078,0.262,0.077,0.269,0.346
266,New Orleans,114.0,0.54,0.144,0.286,21.6,114.7,0.555,0.131,0.231,18.9,2021,New Orleans 2021,0.54,0.557,0.636,0.414,0.44,0.424,0.351,0.352,0.352,96.0,0.292,0.788,25.3,21.6,113.5,2.8,0.152,125.8,1.4,0.655,133.1,1.4,0.284,122.8,0.418,0.172,0.098,0.271,0.081,0.23,0.311
267,San Antonio,111.8,0.521,0.113,0.23,18.9,112.8,0.541,0.132,0.249,17.4,2021,San Antonio 2021,0.521,0.531,0.627,0.427,0.446,0.435,0.37,0.353,0.357,97.2,0.234,0.812,17.5,15.7,109.2,2.0,0.14,121.2,1.2,0.641,131.6,0.8,0.265,116.0,0.315,0.236,0.156,0.392,0.064,0.23,0.294
268,Toronto,112.3,0.532,0.132,0.24,19.9,113.5,0.548,0.162,0.276,23.4,2021,Toronto 2021,0.532,0.551,0.624,0.385,0.39,0.387,0.376,0.37,0.372,95.6,0.244,0.793,17.9,15.2,115.6,3.4,0.166,127.5,1.7,0.631,137.5,1.7,0.328,124.0,0.334,0.177,0.082,0.26,0.1,0.307,0.406
269,Chicago,111.8,0.551,0.15,0.249,15.3,113.1,0.542,0.126,0.221,19.8,2021,Chicago 2021,0.551,0.547,0.649,0.441,0.423,0.435,0.424,0.36,0.376,95.8,0.252,0.823,20.7,17.0,119.0,2.7,0.129,129.8,1.6,0.605,143.4,1.2,0.241,124.1,0.348,0.191,0.103,0.294,0.09,0.269,0.358
270,Washington,111.6,0.533,0.136,0.238,22.1,113.2,0.54,0.14,0.251,21.5,2021,Washington 2021,0.534,0.53,0.667,0.462,0.421,0.447,0.365,0.352,0.356,96.2,0.247,0.78,18.6,16.1,113.8,2.8,0.178,122.8,1.7,0.669,141.4,1.0,0.366,115.2,0.309,0.249,0.15,0.399,0.074,0.218,0.292
271,Charlotte,111.0,0.537,0.151,0.261,17.7,113.5,0.556,0.148,0.261,16.4,2021,Charlotte 2021,0.537,0.555,0.604,0.409,0.398,0.406,0.415,0.364,0.376,94.7,0.266,0.794,18.0,17.2,102.0,2.9,0.158,125.9,2.4,0.668,151.0,0.5,0.3,111.9,0.36,0.169,0.079,0.248,0.094,0.298,0.392
272,Sacramento,114.2,0.553,0.133,0.242,18.5,117.6,0.559,0.136,0.275,20.3,2021,Sacramento 2021,0.553,0.541,0.674,0.451,0.415,0.441,0.43,0.353,0.371,98.3,0.243,0.803,18.5,16.5,109.5,3.7,0.149,132.4,2.0,0.644,147.6,1.6,0.306,124.6,0.327,0.244,0.083,0.327,0.081,0.265,0.346
273,Detroit,108.4,0.52,0.152,0.257,20.7,113.2,0.543,0.141,0.262,19.5,2021,Detroit 2021,0.519,0.551,0.629,0.375,0.389,0.379,0.35,0.353,0.352,91.8,0.262,0.812,19.0,16.3,114.6,2.0,0.14,120.7,1.5,0.621,136.8,0.6,0.271,112.9,0.365,0.196,0.086,0.282,0.087,0.266,0.353
274,Minnesota,110.1,0.523,0.141,0.26,19.3,116.2,0.559,0.148,0.271,20.7,2021,Minnesota 2021,0.523,0.556,0.615,0.379,0.37,0.376,0.37,0.352,0.356,93.9,0.261,0.799,19.1,17.6,105.8,2.3,0.148,122.1,1.8,0.72,134.5,0.5,0.255,113.2,0.378,0.17,0.075,0.246,0.088,0.289,0.377
275,Houston,107.7,0.526,0.146,0.226,18.7,116.2,0.56,0.144,0.268,20.2,2021,Houston 2021,0.527,0.561,0.642,0.37,0.321,0.353,0.351,0.344,0.346,93.0,0.236,0.83,16.6,14.5,113.0,2.0,0.129,123.8,1.4,0.659,133.6,0.4,0.226,115.1,0.374,0.14,0.07,0.209,0.104,0.313,0.417
276,Cleveland,106.3,0.512,0.16,0.275,19.2,115.1,0.56,0.143,0.254,18.5,2021,Cleveland 2021,0.512,0.551,0.603,0.417,0.373,0.407,0.377,0.331,0.342,89.2,0.277,0.808,19.3,17.9,104.8,2.1,0.142,122.4,1.9,0.639,143.1,0.3,0.267,110.2,0.387,0.227,0.069,0.296,0.074,0.242,0.316
