,Team,OFFENSE: Pts/Poss,OFFENSE: eFG%,OFFENSE: TOV%,OFFENSE: ORB%,OFFENSE: FT Rate,DEFENSE: Pts/Poss,DEFENSE: eFG%,DEFENSE: TOV%,DEFENSE: ORB%,DEFENSE: FT Rate,year,team_year,eFG%,Loc eFG%,Rim,Short Mid,Long Mid,All Mid,Corner Three,Non Corner,All Three,Pts/Poss,HALFCOURT: Pts/Play,HALFCOURT: OREB%,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss,OFF STEALS: Freq,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play
72,Chicago,107.5,0.491,0.149,0.299,23.9,104.4,0.47600000000000003,0.129,0.281,18.1,2015,Chicago 2015,0.491,0.507,0.56,0.39799999999999996,0.392,0.395,0.39399999999999996,0.35,0.36,107.5,88.8,0.298,0.805,20.5,18.8,105.5,3.5,0.12300000000000001,127.9,1.6,0.574,139.8,1.9,0.23,122.4
73,Oklahoma City,107.9,0.495,0.153,0.314,21.7,105.0,0.489,0.142,0.264,21.4,2015,Oklahoma City 2015,0.495,0.505,0.589,0.408,0.39399999999999996,0.4,0.386,0.332,0.34600000000000003,107.9,86.7,0.314,0.772,21.3,19.7,104.8,4.6,0.16699999999999998,127.2,2.1,0.596,145.4,2.5,0.324,121.0
74,Dallas,109.2,0.515,0.135,0.26,19.9,106.3,0.507,0.16899999999999998,0.306,20.5,2015,Dallas 2015,0.515,0.504,0.628,0.39899999999999997,0.42,0.41100000000000003,0.387,0.344,0.354,109.2,92.0,0.26,0.8059999999999999,17.4,15.0,113.3,3.7,0.14400000000000002,124.0,2.0,0.5760000000000001,139.1,1.4,0.273,113.4
75,New Orleans,108.3,0.503,0.14300000000000002,0.298,19.8,107.5,0.499,0.132,0.27399999999999997,19.6,2015,New Orleans 2015,0.503,0.511,0.565,0.402,0.39899999999999997,0.4,0.41,0.364,0.376,108.3,90.7,0.31,0.816,19.4,18.1,105.1,2.6,0.122,120.4,1.6,0.551,139.6,1.1,0.233,111.3
76,Milwaukee,102.9,0.501,0.175,0.27899999999999997,19.5,102.2,0.49,0.182,0.298,22.5,2015,Milwaukee 2015,0.501,0.506,0.586,0.38299999999999995,0.406,0.397,0.39799999999999996,0.358,0.37200000000000005,102.9,85.2,0.275,0.7979999999999999,16.5,16.0,100.4,4.1,0.158,126.2,2.7,0.632,142.4,1.3,0.272,115.2
77,Washington,104.2,0.501,0.159,0.275,19.3,103.6,0.485,0.14800000000000002,0.265,20.6,2015,Washington 2015,0.501,0.493,0.636,0.39,0.395,0.39299999999999996,0.371,0.366,0.368,104.2,86.2,0.28800000000000003,0.8,15.5,14.7,103.4,4.3,0.157,127.9,1.7,0.58,137.1,2.6,0.304,124.6
78,Indiana,103.8,0.486,0.149,0.27399999999999997,20.3,103.4,0.48100000000000004,0.136,0.253,21.8,2015,Indiana 2015,0.486,0.491,0.5760000000000001,0.397,0.41200000000000003,0.406,0.381,0.35,0.359,103.8,86.4,0.278,0.831,16.8,15.3,107.2,2.9,0.11800000000000001,126.5,1.2,0.504,135.2,1.8,0.22699999999999998,124.1
79,Utah,105.5,0.496,0.17,0.319,21.7,105.6,0.495,0.14400000000000002,0.272,19.9,2015,Utah 2015,0.496,0.508,0.627,0.354,0.368,0.361,0.374,0.341,0.35,105.5,84.1,0.327,0.8109999999999999,23.9,19.4,119.6,3.7,0.122,130.5,2.0,0.573,140.2,1.7,0.207,123.5
80,Boston,104.8,0.491,0.142,0.276,17.6,105.0,0.49700000000000005,0.156,0.278,20.9,2015,Boston 2015,0.491,0.501,0.598,0.39299999999999996,0.414,0.406,0.37200000000000005,0.321,0.332,104.8,86.7,0.27399999999999997,0.794,19.2,16.7,111.8,3.0,0.149,118.6,1.5,0.596,126.3,1.5,0.27699999999999997,114.2
81,Phoenix,105.5,0.506,0.156,0.264,19.3,105.7,0.499,0.16,0.29,22.2,2015,Phoenix 2015,0.506,0.505,0.622,0.392,0.401,0.397,0.36200000000000004,0.344,0.35,105.5,87.5,0.272,0.763,17.9,16.5,105.8,4.4,0.184,123.7,2.7,0.665,144.1,1.8,0.36200000000000004,114.8
82,Detroit,105.1,0.483,0.14300000000000002,0.303,18.5,106.8,0.505,0.149,0.275,19.4,2015,Detroit 2015,0.483,0.512,0.569,0.34600000000000003,0.391,0.366,0.384,0.336,0.348,105.1,84.6,0.311,0.782,21.8,19.6,108.0,3.9,0.149,126.2,1.6,0.595,130.6,2.4,0.289,124.5
83,Miami,104.3,0.503,0.163,0.267,22.8,106.9,0.508,0.163,0.299,21.5,2015,Miami 2015,0.503,0.502,0.615,0.42,0.4,0.409,0.376,0.32899999999999996,0.345,104.3,88.2,0.27699999999999997,0.826,17.2,14.9,113.1,3.0,0.122,123.2,1.7,0.54,132.5,1.4,0.222,117.4
84,Brooklyn,104.6,0.494,0.147,0.265,19.9,107.4,0.508,0.147,0.284,18.6,2015,Brooklyn 2015,0.494,0.495,0.591,0.43799999999999994,0.402,0.42200000000000004,0.37799999999999995,0.32299999999999995,0.34,104.6,89.2,0.26899999999999996,0.8320000000000001,17.0,16.3,101.7,2.2,0.111,119.9,1.0,0.519,125.3,1.2,0.20199999999999999,117.9
85,Charlotte,100.8,0.45899999999999996,0.125,0.257,20.3,103.6,0.488,0.134,0.24,19.0,2015,Charlotte 2015,0.45899999999999996,0.489,0.551,0.389,0.392,0.391,0.39,0.312,0.327,100.8,85.0,0.259,0.8440000000000001,14.2,13.2,105.3,2.2,0.10300000000000001,117.3,1.2,0.478,133.0,1.0,0.192,110.7
86,Denver,104.6,0.484,0.146,0.29,20.3,108.7,0.507,0.147,0.285,23.9,2015,Denver 2015,0.484,0.508,0.59,0.359,0.39299999999999996,0.377,0.344,0.331,0.33399999999999996,104.6,85.2,0.29,0.7759999999999999,20.2,18.8,104.2,4.1,0.165,124.0,2.3,0.659,142.7,1.6,0.325,114.3
87,Sacramento,104.9,0.491,0.17,0.299,27.8,109.3,0.509,0.135,0.273,20.2,2015,Sacramento 2015,0.491,0.503,0.603,0.366,0.40299999999999997,0.385,0.369,0.342,0.35100000000000003,104.9,86.0,0.302,0.7959999999999999,21.9,19.4,108.7,3.5,0.141,125.9,1.9,0.61,144.9,1.7,0.27699999999999997,118.1
88,Orlando,101.7,0.496,0.158,0.256,16.9,108.2,0.516,0.153,0.271,21.3,2015,Orlando 2015,0.496,0.503,0.59,0.39299999999999996,0.408,0.401,0.369,0.34600000000000003,0.353,101.7,85.5,0.256,0.825,19.5,17.1,110.8,2.7,0.115,124.1,2.0,0.5489999999999999,141.7,0.8,0.19899999999999998,112.3
89,LA Lakers,102.5,0.47200000000000003,0.14,0.27699999999999997,20.0,111.2,0.521,0.135,0.26899999999999996,23.3,2015,LA Lakers 2015,0.47200000000000003,0.49200000000000005,0.607,0.371,0.36200000000000004,0.366,0.39,0.33399999999999996,0.345,102.5,83.7,0.282,0.813,19.9,17.6,110.2,3.1,0.125,124.5,2.4,0.562,153.3,0.8,0.24,110.6
90,Philadelphia,95.6,0.461,0.184,0.281,19.4,105.6,0.501,0.174,0.302,22.9,2015,Philadelphia 2015,0.461,0.518,0.5589999999999999,0.309,0.33,0.319,0.348,0.32299999999999995,0.32799999999999996,95.6,77.0,0.281,0.79,18.1,17.3,101.7,2.7,0.156,116.0,1.9,0.561,131.6,1.0,0.302,108.8
91,Minnesota,102.0,0.467,0.158,0.297,24.0,112.7,0.539,0.158,0.307,18.8,2015,Minnesota 2015,0.467,0.49,0.596,0.365,0.379,0.373,0.36,0.332,0.33799999999999997,102.0,83.3,0.3,0.8009999999999999,19.6,18.0,105.2,3.0,0.138,121.3,1.9,0.604,135.3,1.1,0.271,113.2
92,New York,99.6,0.473,0.161,0.272,17.9,110.6,0.515,0.151,0.3,23.7,2015,New York 2015,0.473,0.489,0.5589999999999999,0.373,0.40700000000000003,0.395,0.354,0.35700000000000004,0.35700000000000004,99.6,84.3,0.27399999999999997,0.8440000000000001,16.2,15.3,103.1,1.3,0.10400000000000001,111.1,1.0,0.47600000000000003,126.6,0.3,0.201,102.2
93,Average,106.6,0.505,0.149,0.266,21.0,106.6,0.505,0.149,0.266,21.0,2016,Average 2016,0.505,0.509,0.603,0.39899999999999997,0.401,0.4,0.377,0.354,0.36,106.6,89.8,0.27,0.8109999999999999,17.4,15.9,106.6,3.1,0.13699999999999998,123.3,1.7,0.5579999999999999,137.7,1.3,0.254,116.0
94,San Antonio,110.6,0.529,0.14,0.251,19.8,98.9,0.48,0.159,0.242,18.2,2016,San Antonio 2016,0.529,0.493,0.649,0.445,0.429,0.436,0.382,0.386,0.385,110.6,96.1,0.256,0.845,17.5,14.6,118.3,1.9,0.111,118.3,1.2,0.429,132.3,0.8,0.193,111.0
95,Golden State,114.9,0.565,0.151,0.255,19.1,103.2,0.48,0.145,0.267,20.6,2016,Golden State 2016,0.565,0.52,0.639,0.392,0.428,0.41,0.41700000000000004,0.42100000000000004,0.42,114.9,100.2,0.255,0.785,16.8,16.2,100.4,3.8,0.17,124.5,1.4,0.5710000000000001,130.5,2.3,0.318,121.8
96,Oklahoma City,113.8,0.528,0.162,0.337,23.4,105.7,0.48700000000000004,0.134,0.26899999999999996,20.3,2016,Oklahoma City 2016,0.528,0.515,0.608,0.449,0.441,0.444,0.35700000000000004,0.358,0.35700000000000004,113.8,92.4,0.345,0.78,21.8,19.7,107.0,4.8,0.166,128.8,1.9,0.61,139.5,3.1,0.32,126.4
97,Cleveland,112.0,0.528,0.14400000000000002,0.28300000000000003,19.4,104.6,0.499,0.142,0.243,20.3,2016,Cleveland 2016,0.528,0.513,0.639,0.39799999999999996,0.431,0.413,0.391,0.355,0.365,112.0,93.6,0.299,0.82,15.7,15.0,102.7,3.8,0.13699999999999998,129.3,2.2,0.539,156.9,1.6,0.264,117.4
98,Toronto,110.4,0.507,0.141,0.28600000000000003,25.4,105.4,0.499,0.142,0.253,20.2,2016,Toronto 2016,0.508,0.508,0.596,0.402,0.382,0.39299999999999996,0.409,0.364,0.37799999999999995,110.4,92.8,0.29600000000000004,0.8290000000000001,15.5,15.8,95.8,3.7,0.114,131.2,2.2,0.519,150.8,1.4,0.193,118.1
99,LA Clippers,108.5,0.527,0.134,0.22399999999999998,22.4,103.7,0.483,0.159,0.29100000000000004,22.3,2016,LA Clippers 2016,0.527,0.504,0.654,0.41200000000000003,0.42,0.41700000000000004,0.41700000000000004,0.355,0.371,108.5,94.6,0.23800000000000002,0.812,14.2,13.4,104.5,2.4,0.136,118.0,1.1,0.515,121.3,1.2,0.242,116.3
100,Atlanta,105.3,0.518,0.154,0.222,18.8,102.1,0.48200000000000004,0.16699999999999998,0.29100000000000004,19.5,2016,Atlanta 2016,0.518,0.52,0.6,0.39,0.428,0.41,0.361,0.35200000000000004,0.354,105.3,90.2,0.225,0.813,12.3,11.5,105.1,3.9,0.151,127.5,2.3,0.54,146.1,1.6,0.276,118.5
101,Boston,106.8,0.491,0.138,0.278,20.7,103.8,0.491,0.16699999999999998,0.281,23.4,2016,Boston 2016,0.49200000000000005,0.513,0.603,0.36700000000000005,0.38,0.374,0.349,0.336,0.33899999999999997,106.8,88.1,0.281,0.7829999999999999,18.0,16.7,105.3,4.0,0.163,126.4,2.3,0.608,140.5,1.7,0.307,118.5
102,Charlotte,107.6,0.502,0.13,0.23,22.0,104.6,0.49700000000000005,0.139,0.23399999999999999,19.2,2016,Charlotte 2016,0.502,0.51,0.583,0.396,0.397,0.397,0.40700000000000003,0.35200000000000004,0.36200000000000004,107.6,91.5,0.235,0.8320000000000001,14.5,13.3,107.0,3.6,0.11900000000000001,131.8,1.8,0.515,143.8,1.8,0.214,126.1
103,Miami,106.6,0.507,0.15,0.268,21.1,104.3,0.488,0.138,0.257,19.6,2016,Miami 2016,0.507,0.503,0.652,0.39799999999999996,0.401,0.39899999999999997,0.35100000000000003,0.331,0.33899999999999997,106.6,90.1,0.275,0.816,19.5,17.0,112.3,3.0,0.125,125.1,1.6,0.5379999999999999,141.6,1.4,0.231,117.1
104,Indiana,104.7,0.498,0.152,0.258,20.7,102.9,0.49200000000000005,0.163,0.273,20.7,2016,Indiana 2016,0.49700000000000005,0.502,0.615,0.42100000000000004,0.374,0.392,0.39299999999999996,0.342,0.35700000000000004,104.7,86.9,0.265,0.809,17.6,14.8,116.6,3.3,0.14400000000000002,124.2,2.2,0.59,141.0,1.0,0.247,112.1
105,Utah,106.0,0.504,0.162,0.28800000000000003,21.3,104.3,0.498,0.151,0.255,21.0,2016,Utah 2016,0.504,0.511,0.603,0.396,0.389,0.39299999999999996,0.395,0.344,0.361,106.0,88.8,0.305,0.8440000000000001,18.1,15.8,112.0,2.0,0.10300000000000001,121.6,1.8,0.537,141.4,0.2,0.156,105.0
106,Detroit,106.7,0.496,0.141,0.29600000000000004,19.8,105.3,0.504,0.14,0.237,19.6,2016,Detroit 2016,0.496,0.51,0.588,0.38299999999999995,0.40299999999999997,0.391,0.36700000000000005,0.35100000000000003,0.35600000000000004,106.7,88.1,0.298,0.794,20.6,19.2,103.4,2.7,0.13699999999999998,119.4,1.0,0.51,126.0,1.7,0.276,116.3
107,Portland,109.0,0.515,0.151,0.28300000000000003,20.3,108.1,0.506,0.136,0.26,22.5,2016,Portland 2016,0.516,0.514,0.578,0.395,0.426,0.413,0.39399999999999996,0.37200000000000005,0.37799999999999995,109.0,91.4,0.287,0.813,19.5,17.2,110.7,2.9,0.13,122.3,1.6,0.573,139.6,1.2,0.24600000000000002,114.0
108,Houston,108.5,0.52,0.163,0.28300000000000003,24.5,108.3,0.518,0.16899999999999998,0.29600000000000004,21.8,2016,Houston 2016,0.52,0.529,0.611,0.38,0.386,0.382,0.358,0.353,0.355,108.5,88.6,0.29600000000000004,0.7609999999999999,20.7,18.4,109.6,4.9,0.184,126.5,2.3,0.637,134.9,2.6,0.355,122.7
109,Dallas,106.9,0.507,0.133,0.226,20.9,107.1,0.507,0.146,0.266,19.8,2016,Dallas 2016,0.507,0.504,0.621,0.40299999999999997,0.413,0.408,0.39799999999999996,0.341,0.354,106.9,92.9,0.23399999999999999,0.85,13.0,12.8,100.0,2.4,0.102,124.7,1.3,0.475,134.6,1.1,0.182,119.0
110,Washington,105.7,0.515,0.147,0.23600000000000002,19.2,106.1,0.518,0.165,0.252,21.7,2016,Washington 2016,0.515,0.507,0.624,0.42,0.40299999999999997,0.41,0.381,0.359,0.365,105.7,90.5,0.22899999999999998,0.794,12.8,12.3,102.0,3.9,0.17,122.1,1.7,0.626,130.6,2.2,0.32899999999999996,119.1
111,Orlando,105.8,0.506,0.145,0.26,17.3,107.0,0.516,0.156,0.259,21.7,2016,Orlando 2016,0.506,0.503,0.602,0.409,0.415,0.413,0.37200000000000005,0.359,0.363,105.8,89.4,0.257,0.8079999999999999,17.6,16.5,103.8,3.4,0.133,126.0,2.3,0.5489999999999999,147.4,1.2,0.244,114.0
112,Chicago,105.1,0.488,0.14400000000000002,0.27699999999999997,19.2,106.8,0.489,0.12300000000000001,0.275,18.2,2016,Chicago 2016,0.488,0.503,0.555,0.384,0.40399999999999997,0.395,0.396,0.37200000000000005,0.37799999999999995,105.1,88.9,0.281,0.8240000000000001,18.3,17.3,102.6,1.8,0.114,117.8,1.0,0.496,131.6,0.8,0.222,111.8
113,Memphis,105.8,0.48,0.142,0.285,23.4,107.6,0.521,0.17300000000000001,0.276,25.0,2016,Memphis 2016,0.48,0.506,0.564,0.392,0.401,0.396,0.32,0.35,0.341,105.8,87.3,0.285,0.813,20.1,18.4,105.4,2.7,0.121,123.1,1.8,0.53,138.2,0.9,0.20800000000000002,112.6
114,New York,105.1,0.488,0.14300000000000002,0.268,20.7,107.5,0.49,0.11900000000000001,0.265,20.3,2016,New York 2016,0.488,0.495,0.573,0.41600000000000004,0.413,0.414,0.40399999999999997,0.33899999999999997,0.355,105.1,88.7,0.271,0.8240000000000001,19.1,16.4,113.8,1.7,0.121,114.7,0.8,0.514,123.9,1.0,0.24100000000000002,111.6
115,Sacramento,105.7,0.511,0.16,0.26899999999999996,21.5,108.4,0.524,0.159,0.26899999999999996,20.2,2016,Sacramento 2016,0.511,0.511,0.625,0.379,0.39399999999999996,0.387,0.414,0.34700000000000003,0.363,105.7,89.4,0.266,0.7829999999999999,18.8,17.1,106.3,2.8,0.163,117.8,1.5,0.607,128.0,1.3,0.309,113.0
116,Milwaukee,104.9,0.503,0.16,0.275,20.8,108.7,0.513,0.162,0.298,22.4,2016,Milwaukee 2016,0.503,0.513,0.603,0.4,0.384,0.392,0.358,0.355,0.35600000000000004,104.9,86.7,0.27899999999999997,0.8059999999999999,19.5,17.5,108.1,3.6,0.142,128.2,2.5,0.611,151.9,1.0,0.26,113.4
117,Denver,105.6,0.49,0.153,0.29100000000000004,21.7,109.5,0.521,0.14,0.253,21.7,2016,Denver 2016,0.49,0.52,0.568,0.374,0.392,0.384,0.34299999999999997,0.34299999999999997,0.34299999999999997,105.6,87.1,0.3,0.8009999999999999,18.1,17.5,100.3,3.4,0.145,124.0,2.1,0.619,146.8,1.3,0.27899999999999997,112.6
118,Minnesota,106.2,0.498,0.157,0.267,26.2,110.2,0.527,0.155,0.28600000000000003,20.1,2016,Minnesota 2016,0.498,0.499,0.637,0.405,0.38799999999999996,0.395,0.391,0.33,0.344,106.2,88.8,0.276,0.815,19.3,16.0,118.3,3.0,0.135,123.9,1.7,0.5660000000000001,138.2,1.4,0.258,116.7
119,New Orleans,105.5,0.5,0.138,0.24,20.3,109.5,0.525,0.141,0.23600000000000002,22.5,2016,New Orleans 2016,0.5,0.509,0.578,0.382,0.42200000000000004,0.405,0.32899999999999996,0.374,0.363,105.5,90.3,0.24100000000000002,0.831,15.0,13.9,105.6,2.6,0.12300000000000001,122.2,1.5,0.537,135.8,1.0,0.228,113.9
120,Phoenix,102.0,0.49,0.175,0.284,20.3,109.4,0.525,0.151,0.256,24.0,2016,Phoenix 2016,0.49,0.512,0.586,0.375,0.36200000000000004,0.368,0.36200000000000004,0.354,0.35600000000000004,102.0,83.8,0.28,0.794,20.1,17.8,109.0,2.9,0.14800000000000002,120.8,1.9,0.602,140.1,1.0,0.285,110.7
121,Brooklyn,103.0,0.493,0.155,0.267,18.6,111.6,0.5379999999999999,0.147,0.267,17.8,2016,Brooklyn 2016,0.493,0.498,0.589,0.424,0.392,0.409,0.385,0.345,0.358,103.0,87.6,0.261,0.82,17.6,17.1,100.3,2.4,0.12,121.4,1.4,0.565,130.4,1.0,0.218,115.0
122,LA Lakers,101.5,0.46399999999999997,0.142,0.257,22.7,112.7,0.527,0.131,0.276,20.7,2016,LA Lakers 2016,0.46299999999999997,0.501,0.563,0.406,0.36,0.381,0.327,0.324,0.324,101.5,85.4,0.259,0.82,14.8,13.9,104.3,2.1,0.129,116.7,1.6,0.545,138.6,0.6,0.256,107.2
123,Philadelphia,98.6,0.48700000000000004,0.16899999999999998,0.23600000000000002,18.5,110.4,0.512,0.155,0.297,24.4,2016,Philadelphia 2016,0.48700000000000004,0.52,0.59,0.354,0.35,0.353,0.374,0.33,0.341,98.6,83.7,0.243,0.82,16.2,14.5,109.3,2.0,0.132,117.2,1.2,0.5660000000000001,125.6,0.8,0.253,112.7
124,Average,109.0,0.517,0.14400000000000002,0.262,21.0,109.0,0.517,0.14400000000000002,0.262,21.0,2017,Average 2017,0.517,0.52,0.61,0.41200000000000003,0.40700000000000003,0.409,0.387,0.35600000000000004,0.364,109.0,92.6,0.266,0.799,17.7,15.9,108.8,3.0,0.152,121.9,1.5,0.5670000000000001,135.1,1.5,0.298,116.4
125,Golden State,116.8,0.5720000000000001,0.145,0.253,20.7,104.0,0.49,0.158,0.276,20.1,2017,Golden State 2017,0.5720000000000001,0.527,0.672,0.42700000000000005,0.45399999999999996,0.442,0.41200000000000003,0.389,0.39399999999999996,116.8,100.6,0.253,0.76,17.4,15.3,110.6,5.4,0.19899999999999998,128.9,2.1,0.59,137.6,3.2,0.39399999999999996,125.1
126,San Antonio,111.7,0.527,0.141,0.272,21.1,104.0,0.496,0.152,0.257,19.3,2017,San Antonio 2017,0.527,0.506,0.622,0.41700000000000004,0.43200000000000005,0.425,0.42700000000000005,0.386,0.39799999999999996,111.7,94.8,0.27399999999999997,0.8109999999999999,18.1,15.5,114.0,3.4,0.139,127.0,1.6,0.49200000000000005,141.3,1.7,0.265,120.3
127,Houston,115.0,0.546,0.15,0.26899999999999996,23.8,109.1,0.523,0.151,0.27,19.3,2017,Houston 2017,0.546,0.544,0.644,0.37,0.377,0.373,0.385,0.35200000000000004,0.359,115.0,97.9,0.27899999999999997,0.77,18.3,16.3,109.9,4.3,0.182,125.1,1.7,0.59,133.9,2.6,0.37799999999999995,122.9
128,LA Clippers,112.6,0.539,0.133,0.244,23.5,108.2,0.507,0.139,0.257,21.2,2017,LA Clippers 2017,0.539,0.519,0.637,0.408,0.43799999999999994,0.42700000000000005,0.40299999999999997,0.374,0.381,112.6,96.6,0.258,0.7929999999999999,16.7,14.9,110.3,4.1,0.163,128.6,1.4,0.547,134.0,2.6,0.321,126.3
129,Toronto,112.5,0.519,0.133,0.27699999999999997,23.7,108.2,0.51,0.153,0.273,22.4,2017,Toronto 2017,0.519,0.511,0.618,0.44,0.41600000000000004,0.428,0.382,0.361,0.36700000000000005,112.5,95.3,0.282,0.805,17.5,16.5,102.6,3.8,0.145,128.3,1.5,0.546,135.1,2.3,0.27,125.6
130,Cleveland,114.2,0.551,0.14,0.255,20.7,110.2,0.518,0.129,0.263,17.1,2017,Cleveland 2017,0.551,0.529,0.652,0.382,0.44,0.41200000000000003,0.408,0.375,0.385,114.2,99.5,0.26,0.7909999999999999,15.2,14.4,103.2,3.4,0.16899999999999998,122.2,1.2,0.564,133.2,2.3,0.354,120.1
131,Utah,109.6,0.529,0.15,0.258,21.5,105.8,0.496,0.132,0.242,19.6,2017,Utah 2017,0.529,0.524,0.627,0.41700000000000004,0.382,0.401,0.386,0.373,0.377,109.6,94.1,0.265,0.8490000000000001,16.0,15.4,101.2,3.0,0.1,133.7,1.5,0.5,145.1,1.4,0.168,125.2
132,Boston,111.6,0.528,0.13699999999999998,0.244,22.3,108.8,0.506,0.14400000000000002,0.278,22.6,2017,Boston 2017,0.528,0.53,0.608,0.415,0.41100000000000003,0.413,0.405,0.353,0.365,111.6,97.0,0.24600000000000002,0.809,14.8,14.1,102.8,2.9,0.141,122.3,1.9,0.583,142.5,1.0,0.272,113.1
133,Washington,111.3,0.532,0.145,0.27,20.2,109.4,0.527,0.157,0.272,21.4,2017,Washington 2017,0.532,0.518,0.615,0.424,0.442,0.434,0.349,0.392,0.38,111.3,93.8,0.278,0.78,19.6,16.9,113.1,4.3,0.17,128.2,2.3,0.6509999999999999,143.2,2.0,0.32899999999999996,120.9
134,Miami,108.2,0.516,0.142,0.27,17.7,106.9,0.498,0.14300000000000002,0.267,22.1,2017,Miami 2017,0.516,0.521,0.61,0.41200000000000003,0.386,0.4,0.401,0.35600000000000004,0.371,108.2,90.2,0.281,0.8059999999999999,18.9,16.3,113.7,3.4,0.141,125.4,1.8,0.5920000000000001,140.7,1.6,0.26899999999999996,118.8
135,Denver,113.2,0.532,0.15,0.3,21.6,112.4,0.5329999999999999,0.121,0.23600000000000002,19.5,2017,Denver 2017,0.532,0.531,0.604,0.425,0.396,0.41200000000000003,0.38299999999999995,0.374,0.375,113.2,95.5,0.306,0.7859999999999999,22.2,19.6,108.9,2.7,0.157,119.1,1.3,0.563,130.2,1.4,0.324,115.3
136,Memphis,107.7,0.494,0.139,0.281,22.2,107.1,0.509,0.153,0.255,25.7,2017,Memphis 2017,0.494,0.52,0.565,0.40399999999999997,0.38299999999999995,0.39399999999999996,0.408,0.34700000000000003,0.36,107.7,90.8,0.28600000000000003,0.8240000000000001,19.4,17.7,106.1,1.9,0.115,118.0,1.2,0.49200000000000005,129.0,0.7,0.20600000000000002,111.7
137,Oklahoma City,108.8,0.503,0.153,0.312,22.1,108.3,0.515,0.141,0.245,21.7,2017,Oklahoma City 2017,0.503,0.529,0.602,0.402,0.386,0.39399999999999996,0.355,0.32299999999999995,0.331,108.8,90.1,0.31,0.765,18.7,18.1,100.0,3.1,0.187,116.5,1.4,0.62,126.5,1.6,0.379,112.7
138,Indiana,109.0,0.522,0.14300000000000002,0.239,21.5,108.6,0.513,0.154,0.273,22.8,2017,Indiana 2017,0.522,0.507,0.611,0.442,0.41600000000000004,0.428,0.413,0.38,0.389,109.0,94.9,0.242,0.825,15.8,13.5,114.9,2.3,0.133,119.9,1.2,0.536,127.6,1.1,0.25,117.0
139,Chicago,107.5,0.49,0.141,0.298,20.9,107.1,0.51,0.141,0.258,17.1,2017,Chicago 2017,0.49,0.51,0.593,0.42,0.384,0.4,0.401,0.32,0.344,107.5,88.2,0.301,0.778,20.2,18.0,109.7,3.4,0.163,122.8,2.2,0.626,144.1,1.3,0.305,114.1
140,Milwaukee,109.7,0.531,0.14800000000000002,0.24600000000000002,21.1,109.7,0.523,0.155,0.27899999999999997,21.6,2017,Milwaukee 2017,0.531,0.532,0.624,0.39399999999999996,0.39,0.392,0.395,0.369,0.377,109.7,93.2,0.251,0.8009999999999999,17.4,15.2,111.8,4.0,0.154,130.1,1.9,0.6,142.7,2.0,0.29600000000000004,123.7
141,Charlotte,109.3,0.504,0.11900000000000001,0.23,22.7,109.6,0.529,0.136,0.23600000000000002,16.6,2017,Charlotte 2017,0.504,0.517,0.596,0.409,0.389,0.39799999999999996,0.375,0.355,0.358,109.3,94.8,0.23600000000000002,0.831,14.8,12.7,113.8,2.2,0.131,119.9,1.1,0.486,131.2,1.2,0.254,117.4
142,Minnesota,111.1,0.514,0.14800000000000002,0.299,22.9,111.9,0.5379999999999999,0.14800000000000002,0.273,21.1,2017,Minnesota 2017,0.514,0.515,0.625,0.42100000000000004,0.406,0.413,0.39,0.345,0.358,111.1,92.4,0.308,0.8009999999999999,22.2,19.2,112.4,2.8,0.138,123.3,1.7,0.565,136.3,1.0,0.271,115.7
143,Portland,110.4,0.521,0.139,0.26,21.5,111.5,0.514,0.132,0.265,24.4,2017,Portland 2017,0.521,0.522,0.574,0.43200000000000005,0.428,0.43,0.371,0.382,0.379,110.4,94.7,0.27,0.8140000000000001,17.8,16.6,104.9,2.8,0.132,123.9,1.4,0.5329999999999999,136.1,1.3,0.268,117.4
144,Detroit,106.3,0.496,0.125,0.27,15.5,107.6,0.519,0.134,0.213,19.8,2017,Detroit 2017,0.496,0.503,0.615,0.418,0.424,0.42100000000000004,0.37799999999999995,0.32799999999999996,0.33899999999999997,106.3,88.5,0.27699999999999997,0.782,18.7,17.4,105.3,3.0,0.163,120.0,1.6,0.5770000000000001,137.6,1.5,0.327,114.3
145,Atlanta,105.2,0.508,0.161,0.26899999999999996,21.5,106.7,0.511,0.156,0.26899999999999996,18.2,2017,Atlanta 2017,0.508,0.525,0.598,0.363,0.423,0.39799999999999996,0.387,0.33799999999999997,0.35,105.2,89.5,0.282,0.795,19.9,17.5,111.1,1.4,0.151,110.8,1.3,0.56,128.2,0.2,0.28800000000000003,103.4
146,New Orleans,105.6,0.506,0.131,0.213,19.4,107.4,0.51,0.14,0.259,17.9,2017,New Orleans 2017,0.506,0.517,0.604,0.426,0.38299999999999995,0.405,0.37799999999999995,0.349,0.35600000000000004,105.6,92.2,0.21,0.813,14.6,12.5,114.6,2.0,0.145,116.1,1.1,0.544,127.8,1.0,0.276,112.6
